scientificname,aphiaid,rank,parent,children,directchildren
Oligochaeta,2036,Subclass,14165,0,0
Caprellidae,101361,Family,196121,0,0
Magelona papillicornis,130272,Species,129341,0,0
Capitella capitata,129876,Species,129211,0,0
Heteromastus filiformis,129884,Species,129214,0,0
Arenicola marina,129868,Species,129206,0,0
Manayunkia aestuarina,130926,Species,129535,0,0
Nephtys cirrosa,130357,Species,129370,0,0
Nephtys hombergii,130359,Species,129370,0,0
Tharyx marioni,155177,Species,129249,0,0
Spiophanes bombyx,131187,Species,129626,0,0
Scolelepis squamata,131177,Species,129623,0,0
Pygospio elegans,131170,Species,129622,0,0
Diastylis rathkei,110487,Species,110398,0,0
Scoloplos armiger,130537,Species,129425,0,0
Ophelia borealis,130491,Species,129413,0,0
Retusa obtusa,141134,Species,138432,0,0
Nereis diversicolor,339374,Species,129379,0,0
Nereis succinea,339379,Species,129379,0,0
Nereis pelagica,130404,Species,129379,0,0
Nereis virens,238384,Species,129379,0,0
Anaitides maculata,152438,Species,152426,0,0
Eteone longa,130616,Species,129443,0,0
Cumopsis goodsiri,147474,Species,110393,0,0
Scrobicularia plana,141424,Species,138467,0,0
Mya arenaria,140430,Species,138211,0,0
Eurydice pulchra,118852,Species,118401,0,0
Crangon crangon,107552,Species,107007,0,0
Bathyporeia sarsi,103073,Species,101742,0,0
Bathyporeia pilosa,103068,Species,101742,0,0
Haustorius arenarius,102317,Species,101546,0,0
Hydrobia ulvae,140126,Species,138081,0,0
Mytilus edulis,140480,Species,138228,0,0
Tellina tenuis,141595,Species,138533,0,0
Macoma balthica,141579,Species,138531,0,0
Mysella bidentata,140380,Species,138186,0,0
Lanice conchilega,131495,Species,129697,0,0
Gastrosaccus spinifer,120020,Species,119859,0,0
Schistomysis spiritus,120206,Species,119905,0,0
Cerastoderma edule,138998,Species,137735,0,0
Corophium volutator,102101,Species,101489,0,0
Carcinus maenas,107381,Species,106922,0,0
